Year,World,Africa,Asia,Europe,Latin America,North America,Oceania
1700,682.0,106.0,436.0,125.0,10.0,2.0,3.0
1750,791.0,106.0,502.0,163.0,16.0,2.0,2.0
1800,1000.0,107.0,656.0,203.0,24.0,7.0,3.0
1850,1262.0,111.0,809.0,276.0,38.0,26.0,2.0
1900,1650.0,133.0,947.0,408.0,74.0,82.0,6.0
1950,2519.0,221.0,1398.0,547.0,167.0,172.0,12.8
1955,2756.0,247.0,1542.0,575.0,191.0,187.0,14.3
1960,2982.0,277.0,1674.0,601.0,209.0,204.0,15.9
1965,3335.0,314.0,1899.0,634.0,250.0,219.0,17.6
1970,3692.0,357.0,2143.0,656.0,285.0,232.0,19.4
1975,4068.0,408.0,2397.0,675.0,322.0,243.0,21.5
1980,4435.0,470.0,2632.0,692.0,361.0,256.0,22.8
1985,4831.0,542.0,2887.0,706.0,401.0,269.0,24.7
1990,5263.0,622.0,3168.0,721.0,441.0,283.0,26.7
1995,5674.0,707.0,3430.0,727.0,481.0,299.0,28.9
2000,6070.0,796.0,3680.0,728.0,520.0,316.0,31.0
2005,6454.0,888.0,3917.0,725.0,558.0,332.0,32.9
2010,6972.0,1022.0,4252.0,732.0,580.0,351.0,35.6
2015,7337.0,1171.0,4397.0,742.0,630.0,357.0,40.0
